"id" "sex" "sire" "dam" "generation"
"719" 624042 "F" 579161 574632 6
"720" 624052 "F" 574631 576352 6
"721" 628412 "F" 574631 576352 6
"722" 624062 "F" 576351 586882 6
"723" 624182 "F" 586881 586872 6
"724" 625542 "F" 586871 576372 6
"725" 624202 "F" 576371 576362 6
"726" 628022 "F" 576371 576362 6
"727" 625672 "F" 576361 624632 6
"728" 624222 "F" 576051 576062 6
"729" 624232 "F" 576061 576072 6
"730" 625172 "F" 576071 579212 6
"731" 624252 "F" 579211 579202 6
"732" 624262 "F" 579201 579192 6
"733" 624272 "F" 579191 579182 6
"734" 623501 "M" 579181 602072 6
"735" 623511 "M" 577491 579102 6
"736" 623521 "M" 579101 579092 6
"737" 623531 "M" 579091 578072 6
"738" 623541 "M" 578071 578062 6
"739" 623551 "M" 578061 579132 6
"740" 623561 "M" 579131 579122 6
"741" 623571 "M" 579121 578092 6
"742" 623581 "M" 578091 578102 6
