Batch,Study,Parent_Pair,Cohort,Dam_ID,Sire_ID,Animal_ID,Access_ID,Sex,Diet,DOB,Date_of_Wean,Diet_Start,Diet_Start_Week,Litter_Number,Litter_Size,Coat_Color,Ear_Punch,Rack,Total_AUC,FastGluc,FastIns,HarvWeight,RetroFat_norm,EpiFat_norm,OmentalFat_norm,ClosedJunc,OpenJunc,REST_EPISODE_COUNT_5,MOVEMENT_EPISODE_COUNT_5,VERTICAL_EPISODE_COUNT_5,SWIM,CLIMB,FLOAT
Thesis,Thesis,330,2T,725955,725391,AWD230,734726,F,LFD,43367,43388,43413,SIX,7,8,BLACK HOOD,LTRB,C-G8,11715,70,,193,0.725388601,0.829015544,0.414507772,178.94,121,10,11,29,22,2,36
Thesis,Thesis,401,2T,728661,727723,AWD242,734784,F,LFD,43368,43389,43413,SIX,4,11,BROWN HOOD,RC,C-G8,11377.5,63,,249,0.963855422,0.803212851,0.481927711,250.5,49.35,6,7,35,45,3,12
Thesis,Thesis,331,2T,725964,726241,AWD222,734714,F,LFD,43366,43388,43413,SIX,8,7,BLACK HOOD,LTRT,C-H8,11610,69,,213,1.784037559,1.220657277,0.845070423,208.16,88.58,5,6,29,54,3,3
Thesis,Thesis,335,2T,726252,726561,AWD238,734763,F,LFD,43368,43389,43413,SIX,8,7,BROWN HOOD,LC,C-H8,11865,68,,217,0.829493088,0.64516129,0.552995392,211.59,87.81,16,17,25,56,3,1
Thesis,Thesis,431,3T,727992,729031,AWD199,7362510,F,LFD,43416,43437,43462,SIX,5,13,BLACK,LB,C-D4,11107.5,65,,232,0.818965517,2.025862069,0.732758621,253.53,46.32,9,10,29,54,1,5
Thesis,Thesis,416,3T,727942,727901,AWD211,7363110,F,LFD,43418,43439,43462,SIX,5,11,ALBINO,RT,C-D4,8737.5,64,,211,1.279620853,1.848341232,0.521327014,253.84,45.82,9,10,21,49,8,3
Thesis,Thesis,452,3T,733421,733401,AWD214,736946,F,LFD,43418,43439,43462,SIX,4,10,BROWN ,LT,C-E4,13777.5,71,1.02,212,1.179245283,1.556603774,0.896226415,246.72,53.21,10,11,30,31,0,29
Thesis,Thesis,443,3T,727934,727791,AWD218,7363310,F,LFD,43419,43440,43462,SIX,4,11,ALBINO,RM,C-E4,14595,71,,219,1.00456621,1.598173516,0.639269406,230.98,68.54,8,8,20,43,0,15
Thesis,Thesis,450,4T,733271,733251,AWD226,737074,F,LFD,43421,43442,43469,SIX,4,9,BLACK,LM,C-C8,13620,81,,201,0.597014925,1.243781095,0.746268657,171.76,127.73,47,47,28,42,2,14
Thesis,Thesis,438,4T,727912,727801,AWD234,736544,F,LFD,43423,43445,43469,SIX,6,11,BLACK,RT,C-C8,14085,79,,202,0.891089109,2.277227723,0.792079208,127.35,171.9,45,46,27,21,6,33
