Study,Parent Pair,Cohort,Access ID,Sex,Diet,Diet Start Week,Litter Size,HarvWeight,RetroFat_norm,EpiFat_norm,OmentalFat_norm,FastIns,FastGluc,Total AUC,SWIM,CLIMB,FLOAT,REST EPISODE COUNT_5,MOVEMENT EPISODE COUNT_5,VERTICAL EPISODE COUNT_5
Thesis,454,4T,736441,M,HFD,SIX,14,383,3.785900783,2.428198433,1.879895561,0.912,83,13980,36,0,24,13,14,39
Thesis,454,4T,736442,M,LFD,SIX,14,362,2.513812155,1.657458564,1.077348066,1.478,94,11475,55,2,3,19,20,23
Thesis,419,4T,736531,M,HFD,SIX,11,362,4.060773481,2.237569061,2.071823204,0.876,83,12787.5,41,0,19,9,10,27
Thesis,419,4T,736532,M,LFD,SIX,11,287,1.637630662,1.219512195,0.940766551,0.92,74,10560,50,7,3,11,12,21
Thesis,438,4T,736541,M,HFD,SIX,11,390,4.282051282,2.58974359,1.769230769,1.631,76,13920,31,2,27,7,8,29
Thesis,438,4T,736542,M,LFD,SIX,11,376,2.393617021,2.287234043,1.489361702,1.538,85,11482.5,54,2,4,3,4,30
Thesis,452,3T,736943,M,HFD,SIX,10,436,3.463302752,2.844036697,1.582568807,0.501,85,14767.5,29,0,31,28,29,19
Thesis,452,3T,736944,M,LFD,SIX,10,405,3.308641975,2.345679012,1.75308642,0.657,83,10957.5,37,0,23,8,9,31
Thesis,450,4T,737071,M,HFD,SIX,9,384,5.104166667,2.864583333,2.630208333,0.161,68,10867.5,42,3,15,22,23,22
Thesis,450,4T,737072,M,LFD,SIX,9,416,3.293269231,1.754807692,1.586538462,0.731,85,17962.5,42,2,16,11,12,23
Thesis,441,5T,738291,M,HFD,SIX,11,490,4.244897959,2.571428571,2.244897959,1.6895,95,20227.5,52,1,7,16,17,24
Thesis,441,5T,738292,M,LFD,SIX,11,443,2.799097065,2.618510158,1.489841986,2.083,94,16957.5,53,5,2,8,8,29
Thesis,433,5T,738331,M,HFD,SIX,9,468,2.692307692,2.457264957,1.282051282,2.3605,90,13830,48,2,10,16,17,26
Thesis,433,5T,738332,M,LFD,SIX,9,476,2.37394958,2.5,1.701680672,3.07,96,17190,53,3,4,12,13,31
Thesis,555,5T,738371,M,HFD,SIX,12,372,2.822580645,2.043010753,1.693548387,1.9565,106,18217.5,11,0,49,14,15,26
Thesis,555,5T,738372,M,LFD,SIX,12,312,2.628205128,1.506410256,1.217948718,,69,11887.5,34,1,25,18,19,16
Thesis,449,5T,738491,M,HFD,SIX,10,360,2.833333333,2.305555556,1.416666667,1.09,75,16680,41,2,17,9,10,29
Thesis,449,5T,738492,M,LFD,SIX,10,383,2.010443864,2.167101828,1.671018277,1.087,72,12637.5,56,0,4,13,14,20
Thesis,461,5T,738501,M,HFD,SIX,11,425,1.835294118,1.576470588,0.776470588,0.8735,77,15337.5,50,5,5,3,4,30
Thesis,461,5T,738502,M,LFD,SIX,11,390,1.871794872,1.717948718,0.897435897,0.7465,83,11992.5,56,0,4,6,7,28
Thesis,412,6T,738541,M,HFD,SIX,7,490,3.102040816,2.775510204,1.571428571,,94,15450,56,0,4,23,24,8
Thesis,412,6T,738542,M,LFD,SIX,7,421,2.256532067,2.304038005,1.733966746,,98,17985,57,0,2,26,27,17
Thesis,428,5T,738571,M,HFD,SIX,8,462,3.982683983,3.116883117,1.385281385,,86,12397.5,45,0,15,15,16,22
Thesis,428,5T,738572,M,LFD,SIX,8,436,2.431192661,2.224770642,0.986238532,0.8565,76,11730,57,0,3,17,18,22
Thesis,0516B,6T,738583,M,HFD,SIX,13,367,2.970027248,2.04359673,1.444141689,,88,12975,56,3,1,8,9,22
Thesis,0516B,6T,738584,M,LFD,SIX,13,383,2.7154047,1.879895561,1.514360313,,77,10290,47,0,13,11,12,26
Thesis,455,6T,738591,M,HFD,SIX,13,380,2.263157895,1.815789474,1.052631579,,83,10335,55,2,3,12,13,24
Thesis,455,6T,738592,M,LFD,SIX,13,391,3.120204604,2.506393862,1.636828645,,68,12360,40,9,11,17,17,20
Thesis,414,6T,738601,M,HFD,SIX,6,444,3.806306306,2.184684685,2.004504505,,79,15630,39,0,21,11,11,26
Thesis,414,6T,738602,M,LFD,SIX,6,390,2.743589744,1.769230769,2,,94,10890,56,0,4,7,8,33
Thesis,425,6T,738681,M,HFD,SIX,13,444,3.873873874,3.400900901,2.477477477,,90,17880,19,3,38,20,21,19
Thesis,425,6T,738682,M,LFD,SIX,13,382,2.486910995,1.727748691,1.596858639,,93,18015,48,5,7,22,23,15
Thesis,430,6T,738691,M,HFD,SIX,11,412,2.985436893,2.86407767,1.77184466,,89,17610,29,1,30,7,7,29
Thesis,430,6T,738692,M,LFD,SIX,11,391,2.352941176,1.432225064,1.381074169,,76,14212.5,52,3,5,10,11,39
Thesis,546,7T,740783,M,HFD,SIX,14,387,2.144702842,2.144702842,1.136950904,1.8405,66,13260,47,5,8,20,20,12
Thesis,546,7T,740784,M,LFD,SIX,14,350,1.2,1.114285714,0.628571429,0.738,64,9562.5,58,0,2,13,13,21
Thesis,537,7T,740795,M,HFD,SIX,9,355,2.704225352,2,1.605633803,1.226,66,14115,51,4,5,14,15,28
Thesis,548,7T,740863,M,HFD,SIX,9,417,2.997601918,1.990407674,1.726618705,1.6645,85,14670,59,0,1,23,23,12
Thesis,548,7T,740864,M,LFD,SIX,9,375,2.506666667,1.946666667,1.093333333,1.5515,74,13597.5,48,12,0,15,16,25
Thesis,530,8T,740871,M,HFD,SIX,7,342,3.157894737,2.105263158,1.637426901,,68,11310,54,1,5,14,14,27
Thesis,530,8T,740872,M,LFD,SIX,7,360,2.138888889,1.944444444,1.777777778,,83,14722.5,56,0,4,17,18,26
Thesis,506,8T,740881,M,LFD,SIX,5,402,2.089552239,2.23880597,1.417910448,,84,15810,42,10,8,18,18,23
Thesis,504,8T,740891,M,HFD,SIX,13,409,3.300733496,2.053789731,1.100244499,,80,17617.5,43,1,12,11,12,25
Thesis,504,8T,740892,M,LFD,SIX,13,343,1.39941691,0.991253644,1.10787172,,81,14790,55,0,5,11,12,17
Thesis,508,8T,740901,M,HFD,SIX,7,406,3.522167488,2.118226601,1.527093596,,88,12022.5,58,0,2,12,13,28
Thesis,508,8T,740902,M,LFD,SIX,7,387,1.937984496,1.73126615,1.524547804,,84,11535,55,4,1,5,6,30
Thesis,516,8T,740911,M,HFD,SIX,11,417,5.419664269,3.645083933,1.846522782,,69,13275,45,3,12,8,9,23
Thesis,516,8T,740912,M,LFD,SIX,11,490,4.93877551,4.673469388,2.306122449,,85,14145,29,6,25,12,13,24
Thesis,507,7T,740923,M,HFD,SIX,12,336,2.827380952,2.767857143,1.517857143,2.1255,83,12592.5,35,0,25,12,13,19
