Study,Parent_Pair,Cohort,Access_ID,Sex,Diet,Diet_Start_Week,Litter_Size,Total_AUC,HarvWeight,RetroFat_norm,FastGluc,FastIns,SWIM,CLIMB,FLOAT,REST_EPISODE_COUNT_5,MOVEMENT_EPISODE_COUNT_5,VERTICAL_EPISODE_COUNT_5,z
Thesis,431,3T,7362510,F,LFD,SIX,13,9.315465860017182,5.4510384535657,0.5982679422370005,4.189654742026425,NA,2916,0.6931471805599453,2.23606797749979,2.302585092994046,2.3978952727983707,29,-1
Thesis,416,3T,7363110,F,LFD,SIX,11,9.075493829206415,5.356586274672012,0.8240091365943516,4.174387269895637,NA,2401,2.1972245773362196,1.7320508075688772,2.302585092994046,2.3978952727983707,21,-1
Thesis,452,3T,736946,F,LFD,SIX,10,9.530864685231947,5.3612921657094255,0.7789786164010685,4.276666119016055,1.0099504938362078,961,0,5.385164807134504,2.3978952727983707,2.4849066497880004,30,-1
Thesis,443,3T,7363310,F,LFD,SIX,11,9.588502797556337,5.393627546352362,0.6954276832358915,4.276666119016055,NA,1849,0,3.872983346207417,2.1972245773362196,2.1972245773362196,20,-1
Thesis,450,4T,737074,F,LFD,SIX,9,9.519367998447342,5.308267697401205,0.4681362148372952,4.406719247264253,NA,1764,1.0986122886681098,3.7416573867739413,3.871201010907891,3.871201010907891,28,-1
Thesis,438,4T,736544,F,LFD,SIX,11,9.552936675305356,5.313205979041787,0.637152911252491,4.382026634673881,NA,441,1.9459101490553132,5.744562646538029,3.828641396489095,3.8501476017100584,27,-1
Thesis,463,4T,736394,F,LFD,SIX,11,9.48918349576076,5.560681631015528,0.9928226805929277,4.499809670330265,NA,2025,0,3.872983346207417,3.332204510175204,3.367295829986474,45,-1
Thesis,454,4T,736444,F,LFD,SIX,14,9.301870689821774,5.384495062789089,0.8681455208577181,4.3694478524670215,NA,121,1.0986122886681098,6.855654600401044,3.784189633918261,3.8066624897703196,38,-1
Thesis,402,4T,736424,F,LFD,SIX,5,9.342771159156673,5.4116460518550396,0.871349652643812,4.343805421853684,0.6066300355241241,2916,0,2.449489742783178,3.7612001156935624,3.784189633918261,55,-1
Thesis,419,4T,736534,F,LFD,SIX,11,9.18049952996516,5.480638923341991,0.3786083702537245,4.30406509320417,NA,3249,1.3862943611198906,0,3.784189633918261,3.8066624897703196,24,-1
